Extension                                         |Number    |Size                |% of Number         |% of Size           |
java                                              |30449     |422424314           |0.15                |0.00095             |
js                                                |18714     |331835409           |0.09                |0.00075             |
dll                                               |16919     |7500861770          |0.08                |0.01688             |
                                                  |16406     |1655451461          |0.08                |0.00373             |
png                                               |14530     |551843956           |0.07                |0.00124             |
xml                                               |10946     |164928861           |0.05                |0.00037             |
py                                                |8240      |71225004            |0.04                |0.00016             |
pyc                                               |7510      |75555111            |0.04                |0.00017             |
mo                                                |6212      |34021874            |0.03                |0.00008             |
po                                                |6154      |43342887            |0.03                |0.00010             |
json                                              |5894      |153341942           |0.03                |0.00035             |
bundle                                            |4865      |12077599116         |0.02                |0.02718             |
map                                               |3660      |98159254            |0.02                |0.00022             |
cs                                                |3418      |4787162             |0.02                |0.00001             |
h                                                 |3311      |126140561           |0.02                |0.00028             |
mihoyobin                                         |3291      |10788915            |0.02                |0.00002             |
ts                                                |2933      |43860684            |0.01                |0.00010             |
cache                                             |2669      |40618836            |0.01                |0.00009             |
pak                                               |2407      |138885142527        |0.01                |0.31252             |
blk                                               |2169      |49017384499         |0.01                |0.11030             |
md                                                |1677      |8325846             |0.01                |0.00002             |
html                                              |1648      |33480551            |0.01                |0.00008             |
svg                                               |1440      |6967091             |0.01                |0.00002             |
xaml                                              |1337      |9384010             |0.01                |0.00002             |
editorconfig                                      |1246      |1142779             |0.01                |0.00000             |
txt                                               |1200      |298234434           |0.01                |0.00067             |
flow                                              |1165      |5363237             |0.01                |0.00001             |
snippet                                           |1140      |1321695             |0.01                |0.00000             |
vstemplate                                        |1085      |1647045             |0.01                |0.00000             |
BuildWithSkipAnalyzers                            |940       |0                   |0.00                |0.00000             |
jar                                               |835       |2526909880          |0.00                |0.00569             |
kt                                                |786       |3076365             |0.00                |0.00001             |
exe                                               |708       |3636215902          |0.00                |0.00818             |
class                                             |650       |2665990             |0.00                |0.00001             |
mjs                                               |568       |8473681             |0.00                |0.00002             |
cpp                                               |534       |3851247             |0.00                |0.00001             |
tt                                                |492       |13050782            |0.00                |0.00003             |
css                                               |480       |10769574            |0.00                |0.00002             |
idl                                               |476       |10403621            |0.00                |0.00002             |
pck                                               |470       |52160136129         |0.00                |0.11737             |
pkgdef                                            |460       |5388663             |0.00                |0.00001             |
chroma                                            |412       |10639640            |0.00                |0.00002             |
vsix                                              |395       |2221331836          |0.00                |0.00500             |
lib                                               |388       |491842906           |0.00                |0.00111             |
bnk                                               |336       |493944033           |0.00                |0.00111             |
ico                                               |332       |10010813            |0.00                |0.00002             |
ini                                               |326       |1670111             |0.00                |0.00000             |
webp                                              |307       |28904592            |0.00                |0.00007             |
IWP                                               |293       |5208229             |0.00                |0.00001             |
WGR                                               |293       |162257              |0.00                |0.00000             |
Total                                             |208135    |444401421184        |
